rule_id,package_sn,scene,topic,rule_name,rule_description,input_fields,condition,output,source_file,priority
MAGSUPV-0006-R01,MAGSUPV-0006,监督检查与经费舞弊 / 全场景通用 / 金融审计,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.中注协有关负责人就印发《可持续信息鉴证 业务准则第6101号一—基本准则(试行)》 答记者问.md,P1
MAGSUPV-0006-R02,MAGSUPV-0006,监督检查与经费舞弊 / 全场景通用 / 金融审计,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.中注协有关负责人就印发《可持续信息鉴证 业务准则第6101号一—基本准则(试行)》 答记者问.md,P1
MAGFIN-0001-R01,MAGFIN-0001,金融审计 / 国企审计 / 监督检查与经费舞弊,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知.md,P1
MAGFIN-0001-R02,MAGFIN-0001,金融审计 / 国企审计 / 监督检查与经费舞弊,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知.md,P1
MAGSUPV-0007-R01,MAGSUPV-0007,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知.md,P1
MAGSUPV-0007-R02,MAGSUPV-0007,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知.md,P1
MAGSUPV-0008-R01,MAGSUPV-0008,监督检查与经费舞弊 / 全场景通用 / 金融审计,奋力谱写注册会计师行业服务中国式现代化新篇章,奋力谱写注册会计师行业服务中国式现代化新篇章R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.奋力谱写注册会计师行业服务中国式现代化新篇章.md,P1
MAGSUPV-0008-R02,MAGSUPV-0008,监督检查与经费舞弊 / 全场景通用 / 金融审计,奋力谱写注册会计师行业服务中国式现代化新篇章,奋力谱写注册会计师行业服务中国式现代化新篇章R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.奋力谱写注册会计师行业服务中国式现代化新篇章.md,P1
MAGSOC-0001-R01,MAGSOC-0001,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知,印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\002.关于印发《关于进一步加强科学事业单位 内部控制建设的指导意见》的通知.md,P1
MAGSOC-0001-R02,MAGSOC-0001,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知,印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\002.关于印发《关于进一步加强科学事业单位 内部控制建设的指导意见》的通知.md,P1
MAGAGR-0001-R01,MAGAGR-0001,农业农村审计 / 金融审计 / 财政与政府债务,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\002.四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评审基本条件》的通知.md,P1
MAGAGR-0001-R02,MAGAGR-0001,农业农村审计 / 金融审计 / 财政与政府债务,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\002.四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评审基本条件》的通知.md,P1
MAGSUPV-0009-R01,MAGSUPV-0009,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见.md,P1
MAGSUPV-0009-R02,MAGSUPV-0009,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见.md,P1
MAGTAX-0001-R01,MAGTAX-0001,税务审计,四川省财政厅关于优化资产评估机构备案管理工作的通知,四川省财政厅关于优化资产评估机构备案管理工作的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省财政厅关于优化资产评估机构备案管理工作的通知.md,P1
MAGTAX-0001-R02,MAGTAX-0001,税务审计,四川省财政厅关于优化资产评估机构备案管理工作的通知,四川省财政厅关于优化资产评估机构备案管理工作的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省财政厅关于优化资产评估机构备案管理工作的通知.md,P1
MAGAGR-0002-R01,MAGAGR-0002,农业农村审计 / 金融审计 / 财政与政府债务,四川省财政国务院关于深入实施“人工智能+”行动的意见,四川省财政国务院关于深入实施“人工智能+”行动的意见R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省财政国务院关于深入实施“人工智能+”行动的意见.md,P1
MAGAGR-0002-R02,MAGAGR-0002,农业农村审计 / 金融审计 / 财政与政府债务,四川省财政国务院关于深入实施“人工智能+”行动的意见,四川省财政国务院关于深入实施“人工智能+”行动的意见R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省财政国务院关于深入实施“人工智能+”行动的意见.md,P1
MAGSOC-0002-R01,MAGSOC-0002,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,推动解决政府采购异常低价问题的通知,推动解决政府采购异常低价问题的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.关于推动解决政府采购异常低价问题的通知.md,P1
MAGSOC-0002-R02,MAGSOC-0002,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,推动解决政府采购异常低价问题的通知,推动解决政府采购异常低价问题的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.关于推动解决政府采购异常低价问题的通知.md,P1
MAGFIN-0002-R01,MAGFIN-0002,金融审计 / 国企审计 / 监督检查与经费舞弊,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知.md,P1
MAGFIN-0002-R02,MAGFIN-0002,金融审计 / 国企审计 / 监督检查与经费舞弊,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知.md,P1
MAGFIN-0003-R01,MAGFIN-0003,金融审计 / 国企审计 / 监督检查与经费舞弊,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指导意见》的通知.md,P1
MAGFIN-0003-R02,MAGFIN-0003,金融审计 / 国企审计 / 监督检查与经费舞弊,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指导意见》的通知.md,P1
MAGSOC-0003-R01,MAGSOC-0003,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,中华人民共和国国务院令,中华人民共和国国务院令R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.中华人民共和国国务院令.md,P1
MAGSOC-0003-R02,MAGSOC-0003,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,中华人民共和国国务院令,中华人民共和国国务院令R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.中华人民共和国国务院令.md,P1
MAGBUD-0001-R01,MAGBUD-0001,预算执行与财政管理 / 财政与政府债务 / 绩效评价,印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）,印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.关于印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）.md,P1
MAGBUD-0001-R02,MAGBUD-0001,预算执行与财政管理 / 财政与政府债务 / 绩效评价,印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）,印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.关于印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）.md,P1
MAGAGR-0003-R01,MAGAGR-0003,农业农村审计 / 金融审计 / 财政与政府债务,实施中小微企业贷款贴息政策的通知,实施中小微企业贷款贴息政策的通知R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.关于实施中小微企业贷款贴息政策的通知.md,P1
MAGAGR-0003-R02,MAGAGR-0003,农业农村审计 / 金融审计 / 财政与政府债务,实施中小微企业贷款贴息政策的通知,实施中小微企业贷款贴息政策的通知R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.关于实施中小微企业贷款贴息政策的通知.md,P1
MAGDATA-0001-R01,MAGDATA-0001,全场景通用,权益法下未确认投资净损失会计处理探讨,权益法下未确认投资净损失会计处理探讨R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.权益法下未确认投资净损失会计处理探讨.md,P1
MAGDATA-0001-R02,MAGDATA-0001,全场景通用,权益法下未确认投资净损失会计处理探讨,权益法下未确认投资净损失会计处理探讨R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.权益法下未确认投资净损失会计处理探讨.md,P1
MAGSUPV-0010-R01,MAGSUPV-0010,监督检查与经费舞弊 / 全场景通用 / 预算执行与财政管理,中国证券监督管理委员会财政部公告,中国证券监督管理委员会财政部公告R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.中国证券监督管理委员会财政部公告.md,P1
MAGSUPV-0010-R02,MAGSUPV-0010,监督检查与经费舞弊 / 全场景通用 / 预算执行与财政管理,中国证券监督管理委员会财政部公告,中国证券监督管理委员会财政部公告R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.中国证券监督管理委员会财政部公告.md,P1
MAGSUPV-0011-R01,MAGSUPV-0011,监督检查与经费舞弊 / 全场景通用 / 金融审计,全面提升综合专业服务能力赋能经济社会高质量发展,全面提升综合专业服务能力赋能经济社会高质量发展R01规则,按案例主题识别同类事项中的风险特征并生成疑点。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.全面提升综合专业服务能力赋能经济社会高质量发展.md,P0
MAGSUPV-0011-R02,MAGSUPV-0011,监督检查与经费舞弊 / 全场景通用 / 金融审计,全面提升综合专业服务能力赋能经济社会高质量发展,全面提升综合专业服务能力赋能经济社会高质量发展R02规则,核查案例涉及的数据、证据和整改链条是否完整一致。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证,风险词命中/数据缺失/证据不一致/指标偏离/流程缺陷,命中对象、风险等级、证据资料、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.全面提升综合专业服务能力赋能经济社会高质量发展.md,P0
