sn,name,type,package_kind,priority,complexity,scene,biz_line,risk_mechanism,assigned_agents,source_folder,source_title,topic,risk_terms,data_terms,method_terms,audit_goal,data_dependencies,output_type,source_file
MAGAGR-0001,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评内控核查包,杂志内控包,control_pack,P1,L2,农业农村审计 / 金融审计 / 财政与政府债务,四川注册会计师/农业农村审计,内控缺陷,data_scout / law_inspector,四川注册会计师,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评审基本条件》的通知,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评,风险；损失；内控；绩效,预算；指标；报表；资产；申报；资金；会计,指标；评价；分析；研究；体系；机制,基于杂志案例《四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评审基本条件》的通知》提炼“四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\002.四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评审基本条件》的通知.md
MAGSUPV-0009,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见内控核查包,杂志内控包,control_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川注册会计师/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,四川注册会计师,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见,风险；闲置,数据；清单；结算；资产；碳排放；申报；资金；会计,算法；模型；评价；监测；识别；检测；研究；体系；数字化；大数据；人工智能,基于杂志案例《四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见》提炼“四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见.md
MAGTAX-0001,四川省财政厅关于优化资产评估机构备案管理工作的通知案例规则包,杂志规则包,rule_pack,P1,L2,税务审计,四川注册会计师/税务审计,合规性,data_scout / law_inspector,四川注册会计师,四川省财政厅关于优化资产评估机构备案管理工作的通知,四川省财政厅关于优化资产评估机构备案管理工作的通知,真实性；完整性,资产；会计,审查；机制,基于杂志案例《四川省财政厅关于优化资产评估机构备案管理工作的通知》提炼“四川省财政厅关于优化资产评估机构备案管理工作的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；纳税申报表；发票明细；税收优惠台账,四川省财政厅关于优化资产评估机构备案管理工作的通知规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省财政厅关于优化资产评估机构备案管理工作的通知.md
MAGAGR-0002,四川省财政国务院关于深入实施“人工智能+”行动的意见案例规则包,杂志规则包,rule_pack,P1,L4,农业农村审计 / 金融审计 / 财政与政府债务,四川注册会计师/农业农村审计,合规性,data_scout / law_inspector,四川注册会计师,四川省财政国务院关于深入实施“人工智能+”行动的意见,四川省财政国务院关于深入实施“人工智能+”行动的意见,风险；预警,数据；采购；招标；投标；资金；会计,算法；模型；规则；评价；预警；监测；识别；研究；体系；路径；机制；方法,基于杂志案例《四川省财政国务院关于深入实施“人工智能+”行动的意见》提炼“四川省财政国务院关于深入实施“人工智能+”行动的意见”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,四川省财政国务院关于深入实施“人工智能+”行动的意见规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省财政国务院关于深入实施“人工智能+”行动的意见.md
MAGSOC-0002,推动解决政府采购异常低价问题的通知案例规则包,杂志规则包,rule_pack,P1,L2,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,四川注册会计师/民生与社保医保,合规性,data_scout / performance_evaluator,四川注册会计师,关于推动解决政府采购异常低价问题的通知,推动解决政府采购异常低价问题的通知,异常；重复,合同；支付；预算；采购；投标；会计,评分；测算；审查,基于杂志案例《关于推动解决政府采购异常低价问题的通知》提炼“推动解决政府采购异常低价问题的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,推动解决政府采购异常低价问题的通知规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.关于推动解决政府采购异常低价问题的通知.md
MAGFIN-0002,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知案例规则包#0002,杂志规则包,rule_pack,P1,L2,金融审计 / 国企审计 / 监督检查与经费舞弊,四川注册会计师/金融审计,合规性,data_scout / contract_hound,四川注册会计师,关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,真实性；完整性,数据；清单；凭证；审批；会计,模型；验证；研究；路径；机制；方法；数字化；大数据,基于杂志案例《关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知》提炼“联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知.md
MAGFIN-0003,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指案例规则包,杂志规则包,rule_pack,P1,L2,金融审计 / 国企审计 / 监督检查与经费舞弊,四川注册会计师/金融审计,合规性,data_scout / contract_hound,四川注册会计师,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指导意见》的通知,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指,风险；挪用；低效；闲置；绩效,合同；支付；预算；决算；指标；审批；资产；缴纳；资金；会计,指标；评价；研究；机制,基于杂志案例《国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指导意见》的通知》提炼“国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指导意见》的通知.md
MAGSOC-0003,中华人民共和国国务院令案例规则包,杂志规则包,rule_pack,P1,L2,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,四川注册会计师/民生与社保医保,合规性,data_scout / performance_evaluator,四川注册会计师,中华人民共和国国务院令,中华人民共和国国务院令,损失,合同；发票；凭证；支付；结算；资产；申报；缴纳；税收；资金；会计,研究；方法,基于杂志案例《中华人民共和国国务院令》提炼“中华人民共和国国务院令”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；采购公告；投标文件；供应商信息,中华人民共和国国务院令规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.中华人民共和国国务院令.md
MAGBUD-0001,印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）案例规则包,杂志规则包,rule_pack,P1,L2,预算执行与财政管理 / 财政与政府债务 / 绩效评价,四川注册会计师/预算执行与财政管理,合规性,budget_estimator / data_scout,四川注册会计师,关于印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）,印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）,风险；重复；真实性；绩效,数据；支付；预算；指标；采购；绩效目标；资产；申报；资金；会计,指标；评价；测算；分析；研究；机制,基于杂志案例《关于印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）》提炼“印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.关于印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）.md
MAGAGR-0003,实施中小微企业贷款贴息政策的通知案例规则包,杂志规则包,rule_pack,P1,L2,农业农村审计 / 金融审计 / 财政与政府债务,四川注册会计师/农业农村审计,合规性,data_scout / law_inspector,四川注册会计师,关于实施中小微企业贷款贴息政策的通知,实施中小微企业贷款贴息政策的通知,违规；重复；真实性,数据；清单；支付；预算；报表；审批；结算；资产；资金；会计,机制；人工智能,基于杂志案例《关于实施中小微企业贷款贴息政策的通知》提炼“实施中小微企业贷款贴息政策的通知”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,实施中小微企业贷款贴息政策的通知规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.关于实施中小微企业贷款贴息政策的通知.md
MAGDATA-0001,权益法下未确认投资净损失会计处理探讨证据模板包,杂志证据包,evidence_pack,P1,L2,全场景通用,四川注册会计师/全场景通用,案例证据,data_scout / workpaper_crafter,四川注册会计师,权益法下未确认投资净损失会计处理探讨,权益法下未确认投资净损失会计处理探讨,损失,明细；报表；资产；会计,分析；方法,基于杂志案例《权益法下未确认投资净损失会计处理探讨》提炼“权益法下未确认投资净损失会计处理探讨”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；明细相关数据；报表相关数据,权益法下未确认投资净损失会计处理探讨案例标签、风险词、数据词、核查程序、底稿证据索引,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.权益法下未确认投资净损失会计处理探讨.md
MAGSUPV-0010,中国证券监督管理委员会财政部公告内控核查包,杂志内控包,control_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 预算执行与财政管理,四川注册会计师/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,四川注册会计师,中国证券监督管理委员会财政部公告,中国证券监督管理委员会财政部公告,违规；舞弊；重复；缺陷；违法,合同；预算；资金；会计,核查；识别；测算,基于杂志案例《中国证券监督管理委员会财政部公告》提炼“中国证券监督管理委员会财政部公告”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,中国证券监督管理委员会财政部公告控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.中国证券监督管理委员会财政部公告.md
MAGSUPV-0011,全面提升综合专业服务能力赋能经济社会高质量发展案例检测算法,杂志案例算法,algorithm,P0,L3,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川注册会计师/监督检查与经费舞弊,真实性,review_sentinel / data_scout,四川注册会计师,全面提升综合专业服务能力赋能经济社会高质量发展,全面提升综合专业服务能力赋能经济社会高质量发展,风险；舞弊,数据；资产；会计,核查；识别；分析；体系；路径；机制；方法；数字化；大数据,基于杂志案例《全面提升综合专业服务能力赋能经济社会高质量发展》提炼“全面提升综合专业服务能力赋能经济社会高质量发展”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,全面提升综合专业服务能力赋能经济社会高质量发展疑点清单、命中规则、风险等级、证据链、核查建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.全面提升综合专业服务能力赋能经济社会高质量发展.md
MAGSOC-0004,金融支持新型工业化的指导意见案例规则包,杂志规则包,rule_pack,P1,L2,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,四川注册会计师/民生与社保医保,合规性,data_scout / performance_evaluator,四川注册会计师,关于金融支持新型工业化的指导意见,金融支持新型工业化的指导意见,违规；风险；舞弊；挪用；套取；绩效；预警；违法,数据；清单；预算；指标；结算；资产；申报；资金；会计,模型；指标；评价；预警；监测；验证；体系；机制；数字化；大数据；人工智能,基于杂志案例《关于金融支持新型工业化的指导意见》提炼“金融支持新型工业化的指导意见”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,金融支持新型工业化的指导意见规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.关于金融支持新型工业化的指导意见.md
MAGSUPV-0012,社会组织评估管理办法内控核查包,杂志内控包,control_pack,P1,L2,监督检查与经费舞弊 / 全场景通用 / 金融审计,四川注册会计师/监督检查与经费舞弊,内控缺陷,review_sentinel / data_scout,四川注册会计师,社会组织评估管理办法,社会组织评估管理办法,违规；舞弊；虚假；绩效；违法,会计,评价；核查；研究；机制,基于杂志案例《社会组织评估管理办法》提炼“社会组织评估管理办法”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；内控制度；会计凭证；工作底稿；整改台账；合同流水；授信审批,社会组织评估管理办法控制点、缺陷类型、责任环节、整改建议、复核状态,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.社会组织评估管理办法.md
MAGTAX-0002,完善增值税期末留抵退税政策的公告案例规则包,杂志规则包,rule_pack,P1,L2,税务审计 / 预算执行与财政管理 / 财政与政府债务,四川注册会计师/税务审计,合规性,data_scout / law_inspector,四川注册会计师,关于完善增值税期末留抵退税政策的公告,完善增值税期末留抵退税政策的公告,虚假；重复,发票；凭证；资产；申报；税收；会计,研究,基于杂志案例《关于完善增值税期末留抵退税政策的公告》提炼“完善增值税期末留抵退税政策的公告”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；纳税申报表；发票明细；税收优惠台账,完善增值税期末留抵退税政策的公告规则编号、触发条件、适用场景、证据资料、处理建议,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\007.关于完善增值税期末留抵退税政策的公告.md
