case_id,package_sn,title,quality_score,quality_tier,linked_package_count,library_source,source_folder,source_top,source_file,scene,case_type,risk_terms,data_terms,method_terms,evidence_chain,summary
MAGISSUE-0444,,中国注册会计师2026年3期,40,D,0,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\中国注册会计师2026年3期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国注册会计师2026年3期》作为来源索引保留，不直接重复生成算法包。
MAGISSUE-0445,,中国注册会计师2026年4期,40,D,0,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\中国注册会计师2026年4期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国注册会计师2026年4期》作为来源索引保留，不直接重复生成算法包。
MAGISSUE-0446,,中国注册会计师2026年5期,40,D,0,magazine_435_articles,中国注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\中国注册会计师\中国注册会计师2026年5期.md,全场景通用,整期期刊来源索引,,,,整刊目录；文章索引；案例回溯,整期期刊《中国注册会计师2026年5期》作为来源索引保留，不直接重复生成算法包。
MAGCASE-0006,MAGSUPV-0006,中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则(试行)》答记者问,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.中注协有关负责人就印发《可持续信息鉴证 业务准则第6101号一—基本准则(试行)》 答记者问.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志内控包,风险；内控；错报,会计；工作底稿,识别；分析；研究；体系；机制；方法,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《中注协有关负责人就印发《可持续信息鉴证业务准则第6101号一—基本准则(试行)》答记者问》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0007,MAGFIN-0001,关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知.md,金融审计 / 国企审计 / 监督检查与经费舞弊,杂志规则包,真实性；完整性,数据；清单；凭证；审批；会计,模型；验证；研究；路径；机制；方法；数字化；大数据,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知》映射为金融审计场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0008,MAGSUPV-0007,四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志内控包,违规；舞弊；重复；违法,数据；会计；审计报告,分析；机制,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《四川省财政厅关于印发《会计师事务所负面积分制管理办法(试行)》的通知》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0009,MAGSUPV-0008,奋力谱写注册会计师行业服务中国式现代化新篇章,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\001.奋力谱写注册会计师行业服务中国式现代化新篇章.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志案例算法,违规；风险；违法,数据；会计,规则；研究；体系；机制；大数据；人工智能,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《奋力谱写注册会计师行业服务中国式现代化新篇章》映射为监督检查与经费舞弊场景的杂志案例算法，可用于案例检索、规则复用和底稿核查。
MAGCASE-0010,MAGSOC-0001,关于印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\002.关于印发《关于进一步加强科学事业单位 内部控制建设的指导意见》的通知.md,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,杂志内控包,违规；风险；重复；套取；低效；真实性；绩效；预警；违法；隐患,数据；台账；清单；合同；支付；预算；决算；指标；项目库；审批,规则；指标；评价；关联；预警；分析；审查；研究；体系；机制,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《关于印发《关于进一步加强科学事业单位内部控制建设的指导意见》的通知》映射为民生与社保医保场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0011,MAGAGR-0001,四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评审基本条件》的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\002.四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评审基本条件》的通知.md,农业农村审计 / 金融审计 / 财政与政府债务,杂志内控包,风险；损失；内控；绩效,预算；指标；报表；资产；申报；资金；会计,指标；评价；分析；研究；体系；机制,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《四川省财政厅四川省人力资源和社会保障厅关于印发《四川省会计高级职称申报评审基本条件》的通知》映射为农业农村审计场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0012,MAGSUPV-0009,四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志内控包,风险；闲置,数据；清单；结算；资产；碳排放；申报；资金；会计,算法；模型；评价；监测；识别；检测；研究；体系；数字化；大数据,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《四川省人民政府办公厅关于进一步促进服务业创新突破的实施意见》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0013,MAGTAX-0001,四川省财政厅关于优化资产评估机构备案管理工作的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省财政厅关于优化资产评估机构备案管理工作的通知.md,税务审计,杂志规则包,真实性；完整性,资产；会计,审查；机制,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《四川省财政厅关于优化资产评估机构备案管理工作的通知》映射为税务审计场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0014,MAGAGR-0002,四川省财政国务院关于深入实施“人工智能+”行动的意见,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\003.四川省财政国务院关于深入实施“人工智能+”行动的意见.md,农业农村审计 / 金融审计 / 财政与政府债务,杂志规则包,风险；预警,数据；采购；招标；投标；资金；会计,算法；模型；规则；评价；预警；监测；识别；研究；体系；路径,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《四川省财政国务院关于深入实施“人工智能+”行动的意见》映射为农业农村审计场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0015,MAGSOC-0002,关于推动解决政府采购异常低价问题的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.关于推动解决政府采购异常低价问题的通知.md,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,杂志规则包,异常；重复,合同；支付；预算；采购；投标；会计,评分；测算；审查,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《关于推动解决政府采购异常低价问题的通知》映射为民生与社保医保场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0016,MAGFIN-0002,关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知.md,金融审计 / 国企审计 / 监督检查与经费舞弊,杂志规则包,真实性；完整性,数据；清单；凭证；审批；会计,模型；验证；研究；路径；机制；方法；数字化；大数据,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《关于联合开展《小微企业增信会计数据标准(试行版)》深化试点工作的通知》映射为金融审计场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0017,MAGFIN-0003,国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指导意见》的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\004.国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指导意见》的通知.md,金融审计 / 国企审计 / 监督检查与经费舞弊,杂志规则包,风险；挪用；低效；闲置；绩效,合同；支付；预算；决算；指标；审批；资产；缴纳；资金；会计,指标；评价；研究；机制,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《国务院办公厅转发财政部《关于规范政府和社会资本合作存量项目建设和运营的指导意见》的通知》映射为金融审计场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0018,MAGSOC-0003,中华人民共和国国务院令,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.中华人民共和国国务院令.md,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,杂志规则包,损失,合同；发票；凭证；支付；结算；资产；申报；缴纳；税收；资金,研究；方法,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《中华人民共和国国务院令》映射为民生与社保医保场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0019,MAGBUD-0001,关于印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.关于印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）.md,预算执行与财政管理 / 财政与政府债务 / 绩效评价,杂志规则包,风险；重复；真实性；绩效,数据；支付；预算；指标；采购；绩效目标；资产；申报；资金；会计,指标；评价；测算；分析；研究；机制,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《关于印发《支持学前教育发展资金管理办法》的通知（正文扫描不完整）》映射为预算执行与财政管理场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0020,MAGAGR-0003,关于实施中小微企业贷款贴息政策的通知,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.关于实施中小微企业贷款贴息政策的通知.md,农业农村审计 / 金融审计 / 财政与政府债务,杂志规则包,违规；重复；真实性,数据；清单；支付；预算；报表；审批；结算；资产；资金；会计,机制；人工智能,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《关于实施中小微企业贷款贴息政策的通知》映射为农业农村审计场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0021,MAGDATA-0001,权益法下未确认投资净损失会计处理探讨,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\005.权益法下未确认投资净损失会计处理探讨.md,全场景通用,杂志证据包,损失,明细；报表；资产；会计,分析；方法,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《权益法下未确认投资净损失会计处理探讨》映射为全场景通用场景的杂志证据包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0022,MAGSUPV-0010,中国证券监督管理委员会财政部公告,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.中国证券监督管理委员会财政部公告.md,监督检查与经费舞弊 / 全场景通用 / 预算执行与财政管理,杂志内控包,违规；舞弊；重复；缺陷；违法,合同；预算；资金；会计,核查；识别；测算,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《中国证券监督管理委员会财政部公告》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0023,MAGSUPV-0011,全面提升综合专业服务能力赋能经济社会高质量发展,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.全面提升综合专业服务能力赋能经济社会高质量发展.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志案例算法,风险；舞弊,数据；资产；会计,核查；识别；分析；体系；路径；机制；方法；数字化；大数据,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《全面提升综合专业服务能力赋能经济社会高质量发展》映射为监督检查与经费舞弊场景的杂志案例算法，可用于案例检索、规则复用和底稿核查。
MAGCASE-0024,MAGSOC-0004,关于金融支持新型工业化的指导意见,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.关于金融支持新型工业化的指导意见.md,民生与社保医保 / 预算执行与财政管理 / 招投标与政府采购,杂志规则包,违规；风险；舞弊；挪用；套取；绩效；预警；违法,数据；清单；预算；指标；结算；资产；申报；资金；会计,模型；指标；评价；预警；监测；验证；体系；机制；数字化；大数据,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《关于金融支持新型工业化的指导意见》映射为民生与社保医保场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0025,MAGSUPV-0012,社会组织评估管理办法,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\006.社会组织评估管理办法.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志内控包,违规；舞弊；虚假；绩效；违法,会计,评价；核查；研究；机制,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《社会组织评估管理办法》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0026,MAGTAX-0002,关于完善增值税期末留抵退税政策的公告,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\007.关于完善增值税期末留抵退税政策的公告.md,税务审计 / 预算执行与财政管理 / 财政与政府债务,杂志规则包,虚假；重复,发票；凭证；资产；申报；税收；会计,研究,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《关于完善增值税期末留抵退税政策的公告》映射为税务审计场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0027,MAGENG-0001,制度升级筑牢防线监督制衡守护公益,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\007.制度升级筑牢防线监督制衡守护公益.md,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,杂志规则包,风险；挪用；偏离,数据；支付；审批；资产；资金；会计,关联；分析；体系；机制；方法,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《制度升级筑牢防线监督制衡守护公益》映射为工程与投资审计场景的杂志规则包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0028,MAGFIN-0004,四川省内部审计条例,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\007.四川省内部审计条例.md,金融审计 / 国企审计 / 监督检查与经费舞弊,杂志指标包,违规；风险；虚假；损失；真实性；完整性；绩效；违法,数据；预算；采购；投标；资产；会计；审计报告；工作底稿,规则；评价；分析；研究；机制,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《四川省内部审计条例》映射为金融审计场景的杂志指标包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0029,MAGFIN-0005,层次分析法在投资决策中的运用,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\007.层次分析法在投资决策中的运用.md,金融审计 / 国企审计 / 监督检查与经费舞弊,杂志案例算法,风险,数据；指标；采购；资产；资金；会计,模型；指标；评价；评分；分析；验证；研究；体系；路径；方法,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《层次分析法在投资决策中的运用》映射为金融审计场景的杂志案例算法，可用于案例检索、规则复用和底稿核查。
MAGCASE-0030,MAGSUPV-0013,2025年注册会计师行业短视频展播活动结果揭晓,68,C,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\008.2025年注册会计师行业短视频展播活动结果揭晓.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志证据包,,会计,,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《2025年注册会计师行业短视频展播活动结果揭晓》映射为监督检查与经费舞弊场景的杂志证据包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0031,MAGSUPV-0014,从标准出发：会计师事务所基础性标准体系建设的意义和关注点,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\008.从标准出发：会计师事务所基础性 标准体系建设的意义和关注点.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志内控包,违规；风险；内控；预警；漏洞,数据；清单；指标；会计,模型；规则；指标；评价；评分；穿透；预警；监测；分析；研究,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《从标准出发：会计师事务所基础性标准体系建设的意义和关注点》映射为监督检查与经费舞弊场景的杂志内控包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0032,MAGFIN-0006,层次分析法在投资决策中的运用,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\008.层次分析法在投资决策中的运用.md,金融审计 / 国企审计 / 监督检查与经费舞弊,杂志案例算法,风险,数据；指标；采购；资产；资金；会计,模型；指标；评价；评分；测算；分析；验证；研究；体系；路径,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《层次分析法在投资决策中的运用》映射为金融审计场景的杂志案例算法，可用于案例检索、规则复用和底稿核查。
MAGCASE-0033,MAGAGR-0004,浅析地方财税金融发展存在的问题及建议——以Y市为例,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\008.浅析地方财税金融发展存在的问题及建议 ——以Y市为例.md,农业农村审计 / 金融审计 / 财政与政府债务,杂志案例算法,风险；绩效,数据；合同；支付；预算；指标；项目库；审批；绩效目标；资产；碳排放,指标；评价；关联；分析；研究；体系；机制；方法；数字化；大数据,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《浅析地方财税金融发展存在的问题及建议——以Y市为例》映射为农业农村审计场景的杂志案例算法，可用于案例检索、规则复用和底稿核查。
MAGCASE-0034,MAGENG-0002,对某一时段履行履约义务确认收入审计风险与应对,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\009.对某一时段履行履约义务确认收入审计风险与应对.md,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,杂志案例算法,风险；完整性；失真；错报,数据；清单；明细；合同；支付；预算；指标；报表；审批；结算,指标；比对；核查；识别；分析；勾稽；验证；审查；方法,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《对某一时段履行履约义务确认收入审计风险与应对》映射为工程与投资审计场景的杂志案例算法，可用于案例检索、规则复用和底稿核查。
MAGCASE-0035,MAGBUD-0002,政府采购中的财务风险防控与审计监督,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\009.政府采购中的财务风险防控与审计监督.md,预算执行与财政管理 / 财政与政府债务 / 绩效评价,杂志案例算法,异常；风险；舞弊；虚假；重复；损失；串标；围标；内控；绩效,数据；台账；合同；凭证；支付；预算；指标；采购；招标；投标,算法；规则；指标；评价；穿透；关联；聚类；抽样；预警；识别,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《政府采购中的财务风险防控与审计监督》映射为预算执行与财政管理场景的杂志案例算法，可用于案例检索、规则复用和底稿核查。
MAGCASE-0036,MAGDATA-0002,省注协第六届理事会信息化委员会第一次会议在成都召开,76,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\009.省注协第六届理事会信息化委员会 第一次会议在成都召开.md,全场景通用,杂志证据包,,数据；会计,分析；研究；路径；数字化,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《省注协第六届理事会信息化委员会第一次会议在成都召开》映射为全场景通用场景的杂志证据包，可用于案例检索、规则复用和底稿核查。
MAGCASE-0037,MAGSUPV-0015,社会审计助力国家审计的方法与路径研究,84,B,1,magazine_435_articles,四川注册会计师,,D:\openclaw-workspace\knowledge\11-杂志文献\四川注册会计师\009.社会审计助力国家审计的方法与路径研究.md,监督检查与经费舞弊 / 全场景通用 / 金融审计,杂志案例算法,风险；重复；真实性；绩效,数据；支付；预算；问卷；样本；报表；采购；资产；资金；会计,模型；评价；评分；穿透；关联；识别；分析；验证；研究；体系,案例背景；审计关注点；数据资料；分析方法；疑点发现；核查程序；整改启示,《社会审计助力国家审计的方法与路径研究》映射为监督检查与经费舞弊场景的杂志案例算法，可用于案例检索、规则复用和底稿核查。
