optimized_sn,previous_optimized_sn,sn,name,type,priority,complexity,quality_score,quality_tier,curation_status,scene,biz_line,risk_mechanism,assigned_agents,library_source,source_title,topic,source_file,audit_goal,data_dependencies,output_type,duplicate_merged_count,related_candidates
OPTAGR-0002,OPTAGR-0002,MAGAGR-0010,003财政中心工作以主题教育开展成效推动财政监管工作高质量发展案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,真实性,data_scout / law_inspector,magazine_435_articles,003财政中心工作以主题教育开展成效推动财政监管工作高质量发展,003财政中心工作以主题教育开展成效推动财政监管工作高质量发展,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\003财政中心工作以主题教育开展成效推动财政监管工作高质量发展.md,基于杂志案例《003财政中心工作以主题教育开展成效推动财政监管工作高质量发展》提炼“003财政中心工作以主题教育开展成效推动财政监管工作高质量发展”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,003财政中心工作以主题教育开展成效推动财政监管工作高质量发展疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0003,OPTAGR-0003,MAGAGR-0011,005紧紧围绕主题教育总要求推动财会监督高质量发展案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,真实性,data_scout / law_inspector,magazine_435_articles,005紧紧围绕主题教育总要求推动财会监督高质量发展,005紧紧围绕主题教育总要求推动财会监督高质量发展,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\005紧紧围绕主题教育总要求推动财会监督高质量发展.md,基于杂志案例《005紧紧围绕主题教育总要求推动财会监督高质量发展》提炼“005紧紧围绕主题教育总要求推动财会监督高质量发展”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,005紧紧围绕主题教育总要求推动财会监督高质量发展疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0004,OPTAGR-0004,MAGAGR-0012,009因地制宜探索创新财政运行综合绩效评价实践案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,009因地制宜探索创新财政运行综合绩效评价实践,009因地制宜探索创新财政运行综合绩效评价实践,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\009因地制宜探索创新财政运行综合绩效评价实践.md,基于杂志案例《009因地制宜探索创新财政运行综合绩效评价实践》提炼“009因地制宜探索创新财政运行综合绩效评价实践”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,009因地制宜探索创新财政运行综合绩效评价实践疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0005,OPTAGR-0005,MAGAGR-0013,012衔接推进乡村振兴补助资金绩效评价实践探索案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,012衔接推进乡村振兴补助资金绩效评价实践探索,012衔接推进乡村振兴补助资金绩效评价实践探索,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\012衔接推进乡村振兴补助资金绩效评价实践探索.md,基于杂志案例《012衔接推进乡村振兴补助资金绩效评价实践探索》提炼“012衔接推进乡村振兴补助资金绩效评价实践探索”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,012衔接推进乡村振兴补助资金绩效评价实践探索疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0006,OPTAGR-0006,MAGAGR-0015,017省直管县后财政转移支付问题研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,017省直管县后财政转移支付问题研究,017省直管县后财政转移支付问题研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\017省直管县后财政转移支付问题研究.md,基于杂志案例《017省直管县后财政转移支付问题研究》提炼“017省直管县后财政转移支付问题研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,017省直管县后财政转移支付问题研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0007,OPTAGR-0007,MAGAGR-0016,018人人充当监督员助力县域经济高质量发展案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,真实性,data_scout / law_inspector,magazine_435_articles,018人人充当监督员助力县域经济高质量发展,018人人充当监督员助力县域经济高质量发展,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\018人人充当监督员助力县域经济高质量发展.md,基于杂志案例《018人人充当监督员助力县域经济高质量发展》提炼“018人人充当监督员助力县域经济高质量发展”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,018人人充当监督员助力县域经济高质量发展疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0008,OPTAGR-0008,MAGAGR-0017,018碳中和目标下德国绿色预算实践的审视与借鉴案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,018碳中和目标下德国绿色预算实践的审视与借鉴,018碳中和目标下德国绿色预算实践的审视与借鉴,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\018碳中和目标下德国绿色预算实践的审视与借鉴.md,基于杂志案例《018碳中和目标下德国绿色预算实践的审视与借鉴》提炼“018碳中和目标下德国绿色预算实践的审视与借鉴”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,018碳中和目标下德国绿色预算实践的审视与借鉴疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0009,OPTAGR-0009,MAGAGR-0020,下级政府财政运行综合绩效评价的问题及优化思路案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,下级政府财政运行综合绩效评价的问题及优化思路,下级政府财政运行综合绩效评价的问题及优化思路,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\10.下级政府财政运行综合绩效评价的问题及优化思路.md,基于杂志案例《下级政府财政运行综合绩效评价的问题及优化思路》提炼“下级政府财政运行综合绩效评价的问题及优化思路”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,下级政府财政运行综合绩效评价的问题及优化思路疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0010,OPTAGR-0010,MAGAGR-0026,以跟踪评价模式探索提升财会监督工作质效案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,以跟踪评价模式探索提升财会监督工作质效,以跟踪评价模式探索提升财会监督工作质效,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\14.以跟踪评价模式探索提升财会监督工作质效.md,基于杂志案例《以跟踪评价模式探索提升财会监督工作质效》提炼“以跟踪评价模式探索提升财会监督工作质效”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,以跟踪评价模式探索提升财会监督工作质效疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0011,OPTAGR-0011,MAGAGR-0025,健全我国财政资金直达监管机制的思考案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,健全我国财政资金直达监管机制的思考,健全我国财政资金直达监管机制的思考,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\13.健全我国财政资金直达监管机制的思考.md,基于杂志案例《健全我国财政资金直达监管机制的思考》提炼“健全我国财政资金直达监管机制的思考”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,健全我国财政资金直达监管机制的思考疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0012,OPTAGR-0012,MAGAGR-0050,全面乡村振兴战略促进了农村基本公共服务均等化吗案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,全面乡村振兴战略促进了农村基本公共服务均等化吗,全面乡村振兴战略促进了农村基本公共服务均等化吗,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\8.全面乡村振兴战略促进了农村基本公共服务均等化吗.md,基于杂志案例《全面乡村振兴战略促进了农村基本公共服务均等化吗》提炼“全面乡村振兴战略促进了农村基本公共服务均等化吗”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,全面乡村振兴战略促进了农村基本公共服务均等化吗疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0013,OPTAGR-0013,MAGAGR-0038,共同富裕目标下财会监督的重要使命探讨案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,共同富裕目标下财会监督的重要使命探讨,共同富裕目标下财会监督的重要使命探讨,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\4.共同富裕目标下财会监督的重要使命探讨.md,基于杂志案例《共同富裕目标下财会监督的重要使命探讨》提炼“共同富裕目标下财会监督的重要使命探讨”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；内控制度；会计凭证；工作底稿,共同富裕目标下财会监督的重要使命探讨疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0014,OPTAGR-0014,MAGAGR-0030,农业保险中的利益需求风险及对策探析案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,异常性,data_scout / law_inspector,magazine_435_articles,农业保险中的利益需求风险及对策探析,农业保险中的利益需求风险及对策探析,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\16.农业保险中的利益需求风险及对策探析.md,基于杂志案例《农业保险中的利益需求风险及对策探析》提炼“农业保险中的利益需求风险及对策探析”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,农业保险中的利益需求风险及对策探析疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0015,OPTAGR-0015,MAGAGR-0035,农业科研单位生物育种项目资金管理问题研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,农业科研单位生物育种项目资金管理问题研究,农业科研单位生物育种项目资金管理问题研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\20.农业科研单位生物育种项目资金管理问题研究.md,基于杂志案例《农业科研单位生物育种项目资金管理问题研究》提炼“农业科研单位生物育种项目资金管理问题研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,农业科研单位生物育种项目资金管理问题研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0016,OPTAGR-0016,MAGAGR-0043,加力提效统筹合力助推中国式现代化开局起步案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,加力提效统筹合力助推中国式现代化开局起步,加力提效统筹合力助推中国式现代化开局起步,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\5.加力提效统筹合力助推中国式现代化开局起步.md,基于杂志案例《加力提效统筹合力助推中国式现代化开局起步》提炼“加力提效统筹合力助推中国式现代化开局起步”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,加力提效统筹合力助推中国式现代化开局起步疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0017,OPTAGR-0017,MAGAGR-0007,勇担审计职责使命奋力推进浙江“两个先行”案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,审计观察/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,勇担审计职责使命奋力推进浙江“两个先行”,勇担审计职责使命奋力推进浙江“两个先行”,D:\openclaw-workspace\knowledge\11-杂志文献\审计观察\13.勇担审计职责使命奋力推进浙江“两个先行”.md,基于杂志案例《勇担审计职责使命奋力推进浙江“两个先行”》提炼“勇担审计职责使命奋力推进浙江“两个先行””审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,勇担审计职责使命奋力推进浙江“两个先行”疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0018,OPTAGR-0018,MAGAGR-0027,县级财政支持乡村振兴面临的困难及建议案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,县级财政支持乡村振兴面临的困难及建议,县级财政支持乡村振兴面临的困难及建议,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\15.县级财政支持乡村振兴面临的困难及建议.md,基于杂志案例《县级财政支持乡村振兴面临的困难及建议》提炼“县级财政支持乡村振兴面临的困难及建议”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,县级财政支持乡村振兴面临的困难及建议疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0019,OPTAGR-0019,MAGAGR-0052,县级预算绩效管理创新性实践的探索与思考案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,县级预算绩效管理创新性实践的探索与思考,县级预算绩效管理创新性实践的探索与思考,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\9.县级预算绩效管理创新性实践的探索与思考.md,基于杂志案例《县级预算绩效管理创新性实践的探索与思考》提炼“县级预算绩效管理创新性实践的探索与思考”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；绩效目标表；绩效评价指标；产出效果数据,县级预算绩效管理创新性实践的探索与思考疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0020,OPTAGR-0020,MAGAGR-0044,回顾与展望：新时代财税改革助推中国式现代化案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,回顾与展望：新时代财税改革助推中国式现代化,回顾与展望：新时代财税改革助推中国式现代化,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\5.回顾与展望：新时代财税改革助推中国式现代化.md,基于杂志案例《回顾与展望：新时代财税改革助推中国式现代化》提炼“回顾与展望：新时代财税改革助推中国式现代化”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；纳税申报表；发票明细；税收优惠台账,回顾与展望：新时代财税改革助推中国式现代化疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0021,OPTAGR-0021,MAGAGR-0045,“当下改”和“长久立”的常态化预算执行监控机制研究案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,基于“当下改”和“长久立”的常态化预算执行监控机制研究,“当下改”和“长久立”的常态化预算执行监控机制研究,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\5.基于“当下改”和“长久立”的常态化预算执行监控机制研究.md,基于杂志案例《基于“当下改”和“长久立”的常态化预算执行监控机制研究》提炼““当下改”和“长久立”的常态化预算执行监控机制研究”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,“当下改”和“长久立”的常态化预算执行监控机制研究疑点清单、命中规则、风险等级、证据链、核查建议,,
OPTAGR-0022,OPTAGR-0022,MAGAGR-0048,我国地方政府债务现状、原因分析与因应对策案例检测算法,杂志案例算法,P0,L3,100,A,算法候选-严格保留,农业农村审计 / 金融审计 / 财政与政府债务,财政监督/农业农村审计,案例规则,data_scout / law_inspector,magazine_435_articles,我国地方政府债务现状、原因分析与因应对策,我国地方政府债务现状、原因分析与因应对策,D:\openclaw-workspace\knowledge\11-杂志文献\财政监督\7.我国地方政府债务现状、原因分析与因应对策.md,基于杂志案例《我国地方政府债务现状、原因分析与因应对策》提炼“我国地方政府债务现状、原因分析与因应对策”审计算法/规则，用于复用审计经验、生成疑点线索和核查程序。,文章案例文本；审计事项清单；问题线索台账；审计证据资料；预算指标表；财政支出明细；项目资金台账；合同流水；授信审批；还款记录,我国地方政府债务现状、原因分析与因应对策疑点清单、命中规则、风险等级、证据链、核查建议,,
