sn,name,type,package_kind,priority,complexity,scene,biz_line,risk_mechanism,assigned_agents,source_kind,source_top,source_title,topic,merge_action,audit_goal,data_dependencies,output_type,source_file
ENGV6D-011,工程项目利润创造与造价风险控制-EPC政策合规指标包,指标包,indicator_pack,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,EPC政策合规,新增,基于《工程项目利润创造与造价风险控制》中“EPC政策合规”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,EPC政策合规指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ENGV6D-012,工程项目利润创造与造价风险控制-工程造价异常检测算法,算法候选,algorithm,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,工程造价异常,新增,基于《工程项目利润创造与造价风险控制》中“工程造价异常”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,工程造价异常疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ENGV6D-013,工程项目利润创造与造价风险控制-工程量真实性内控核查包,内控包,control_pack,P1,L2,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,合规性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,工程量真实性,新增,基于《工程项目利润创造与造价风险控制》中“工程量真实性”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,工程量真实性控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ENGV6D-014,工程项目利润创造与造价风险控制-签证变更异常规则包,规则包,rule_pack,P1,L2,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,合规性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,签证变更异常,新增,基于《工程项目利润创造与造价风险控制》中“签证变更异常”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,签证变更异常规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ENGV6D-015,工程项目利润创造与造价风险控制-竣工决算费用归集指标包,指标包,indicator_pack,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,竣工决算费用归集,新增,基于《工程项目利润创造与造价风险控制》中“竣工决算费用归集”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,竣工决算费用归集指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ENGV6D-016,工程项目利润创造与造价风险控制-分包采购联动证据链包,证据包,evidence_pack,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,分包采购联动,新增,基于《工程项目利润创造与造价风险控制》中“分包采购联动”相关内容，贯通审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,分包采购联动证据链节点、证据缺口、访谈对象、底稿索引、结论边界,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ENGV6D-017,工程项目利润创造与造价风险控制-隐蔽工程检测检测算法,算法候选,algorithm,P1,L3,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,异常性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,隐蔽工程检测,新增,基于《工程项目利润创造与造价风险控制》中“隐蔽工程检测”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,隐蔽工程检测疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ENGV6D-018,工程项目利润创造与造价风险控制-项目利润异常规则包,规则包,rule_pack,P1,L2,工程与投资审计 / 招投标与政府采购 / 财政与政府债务,工程/工程与投资审计,合规性,settlement_auditor / budget_estimator,book,工程,工程项目利润创造与造价风险控制,项目利润异常,新增,基于《工程项目利润创造与造价风险控制》中“项目利润异常”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；工程量清单；结算书,项目利润异常规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\工程\工程项目利润创造与造价风险控制.pdf.md
ECONV6D-001,内部经济责任审计-内部经济责任审计的程序与方法检测算法,算法候选,algorithm,P0,L3,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,内部经济责任审计,内部经济责任审计的程序与方法,新增,基于《内部经济责任审计》中“内部经济责任审计的程序与方法”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,内部经济责任审计的程序与方法疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md
ECONV6D-002,内部经济责任审计-内部经济责任审计特有的调查和分析方法规则包,规则包,rule_pack,P1,L2,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,内部经济责任审计,内部经济责任审计特有的调查和分析方法,新增,基于《内部经济责任审计》中“内部经济责任审计特有的调查和分析方法”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,内部经济责任审计特有的调查和分析方法规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md
ECONV6D-003,内部经济责任审计-内部经济责任审计评价与责任界定指标包,指标包,indicator_pack,P1,L3,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,内部经济责任审计,内部经济责任审计评价与责任界定,新增,基于《内部经济责任审计》中“内部经济责任审计评价与责任界定”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,内部经济责任审计评价与责任界定指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md
ECONV6D-004,内部经济责任审计-内部经济责任审计程序检测算法,算法候选,algorithm,P1,L3,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,内部经济责任审计,内部经济责任审计程序,新增,基于《内部经济责任审计》中“内部经济责任审计程序”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,内部经济责任审计程序疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md
ECONV6D-005,内部经济责任审计-内部经济责任审计总体评价内控核查包,内控包,control_pack,P1,L2,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,内部经济责任审计,内部经济责任审计总体评价,新增,基于《内部经济责任审计》中“内部经济责任审计总体评价”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,内部经济责任审计总体评价控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md
ECONV6D-006,内部经济责任审计-内部经济责任审计.pdf规则包,规则包,rule_pack,P1,L2,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,内部经济责任审计,内部经济责任审计.pdf,新增,基于《内部经济责任审计》中“内部经济责任审计.pdf”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,内部经济责任审计.pdf规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md
ECONV6D-007,内部经济责任审计-内部经济责任审计概述指标包,指标包,indicator_pack,P1,L3,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,内部经济责任审计,内部经济责任审计概述,新增,基于《内部经济责任审计》中“内部经济责任审计概述”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,内部经济责任审计概述指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md
ECONV6D-008,内部经济责任审计-内部经济责任审计的必要性与特点证据链包,证据包,evidence_pack,P1,L3,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,内部经济责任审计,内部经济责任审计的必要性与特点,新增,基于《内部经济责任审计》中“内部经济责任审计的必要性与特点”相关内容，贯通审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,内部经济责任审计的必要性与特点证据链节点、证据缺口、访谈对象、底稿索引、结论边界,E:\2026\审计方法&政策文件\_ocr_output\经责\内部经济责任审计.pdf.md
ECONV6D-009,国有企业经济责任审计实务指南-审计评价与责任界定57检测算法,算法候选,algorithm,P0,L3,经济责任审计 / 国企审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,国有企业经济责任审计实务指南,审计评价与责任界定57,新增,基于《国有企业经济责任审计实务指南》中“审计评价与责任界定57”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,审计评价与责任界定57疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\国有企业经济责任审计实务指南.pdf.md
ECONV6D-010,国有企业经济责任审计实务指南-审计评价与责任界定66规则包,规则包,rule_pack,P1,L2,经济责任审计 / 国企审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,国有企业经济责任审计实务指南,审计评价与责任界定66,新增,基于《国有企业经济责任审计实务指南》中“审计评价与责任界定66”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,审计评价与责任界定66规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\经责\国有企业经济责任审计实务指南.pdf.md
ECONV6D-011,国有企业经济责任审计实务指南-国有企业经济责任审计实务指南.pdf指标包,指标包,indicator_pack,P1,L3,经济责任审计 / 国企审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,国有企业经济责任审计实务指南,国有企业经济责任审计实务指南.pdf,新增,基于《国有企业经济责任审计实务指南》中“国有企业经济责任审计实务指南.pdf”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,国有企业经济责任审计实务指南.pdf指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\经责\国有企业经济责任审计实务指南.pdf.md
ECONV6D-012,国有企业经济责任审计实务指南-一般事项审计操作程序23检测算法,算法候选,algorithm,P1,L3,经济责任审计 / 国企审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,国有企业经济责任审计实务指南,一般事项审计操作程序23,新增,基于《国有企业经济责任审计实务指南》中“一般事项审计操作程序23”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,一般事项审计操作程序23疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\国有企业经济责任审计实务指南.pdf.md
ECONV6D-013,国有企业经济责任审计实务指南-审计评价内控核查包,内控包,control_pack,P1,L2,经济责任审计 / 国企审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,国有企业经济责任审计实务指南,审计评价,新增,基于《国有企业经济责任审计实务指南》中“审计评价”相关内容，核查审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,审计评价控制点、缺陷类型、责任环节、整改任务、复核状态,E:\2026\审计方法&政策文件\_ocr_output\经责\国有企业经济责任审计实务指南.pdf.md
ECONV6D-014,国有企业经济责任审计实务指南-审计程序规则包,规则包,rule_pack,P1,L2,经济责任审计 / 国企审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,国有企业经济责任审计实务指南,审计程序,新增,基于《国有企业经济责任审计实务指南》中“审计程序”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,审计程序规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\经责\国有企业经济责任审计实务指南.pdf.md
ECONV6D-015,国有企业经济责任审计实务指南-审计程序64指标包,指标包,indicator_pack,P1,L3,经济责任审计 / 国企审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,国有企业经济责任审计实务指南,审计程序64,新增,基于《国有企业经济责任审计实务指南》中“审计程序64”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,审计程序64指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\经责\国有企业经济责任审计实务指南.pdf.md
ECONV6D-016,经济责任审计实务-A市国土资源与房屋管理局原局长离任经济责任审计检测算法,算法候选,algorithm,P1,L3,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,经济责任审计实务,A市国土资源与房屋管理局原局长离任经济责任审计,新增,基于《经济责任审计实务》中“A市国土资源与房屋管理局原局长离任经济责任审计”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,A市国土资源与房屋管理局原局长离任经济责任审计疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\经济责任审计实务.md
ECONV6D-017,经济责任审计实务-b区机关事务管理局局长任期经济责任审计规则包,规则包,rule_pack,P1,L2,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,合规性,fiscal_reviewer / review_sentinel,book,经责,经济责任审计实务,b区机关事务管理局局长任期经济责任审计,新增,基于《经济责任审计实务》中“b区机关事务管理局局长任期经济责任审计”相关内容，固化审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,b区机关事务管理局局长任期经济责任审计规则编号、规则说明、触发条件、证据资料、处理建议,E:\2026\审计方法&政策文件\_ocr_output\经责\经济责任审计实务.md
ECONV6D-018,经济责任审计实务-d区风景管理局所属6个管理处原处长离任经济责任审计指标包,指标包,indicator_pack,P1,L3,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,经济责任审计实务,d区风景管理局所属6个管理处原处长离任经济责任审计,新增,基于《经济责任审计实务》中“d区风景管理局所属6个管理处原处长离任经济责任审计”相关内容，量化评价审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,d区风景管理局所属6个管理处原处长离任经济责任审计指标名称、指标值、标准值、偏离率、评分和扣分原因,E:\2026\审计方法&政策文件\_ocr_output\经责\经济责任审计实务.md
ECONV6D-019,经济责任审计实务-经济责任审计实务检测算法,算法候选,algorithm,P1,L3,经济责任审计 / 监督检查与经费舞弊,经责/经济责任审计,异常性,fiscal_reviewer / review_sentinel,book,经责,经济责任审计实务,经济责任审计实务,新增,基于《经济责任审计实务》中“经济责任审计实务”相关内容，识别审计对象在合规性、真实性、绩效性和责任链方面的风险，形成可复核的疑点、规则或指标输出。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表；产出效果数据；满意度问卷；会议纪要；三重一大事项,经济责任审计实务疑点清单、风险等级、命中规则、涉及金额、核查建议,E:\2026\审计方法&政策文件\_ocr_output\经责\经济责任审计实务.md
