asset_id,asset_type,source_type,package_sn,quality_score,quality_tier,scene,topic,name,description,input_fields,condition,output,priority,library_source,source_file
PERFV6D-079-R01,audit_rule,generated_rule,PERFV6D-079,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,多维数据分析审计技术,多维数据分析审计技术完整性规则,检查多维数据分析审计技术相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md
PERFV6D-079-R02,audit_rule,generated_rule,PERFV6D-079,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,多维数据分析审计技术,多维数据分析审计技术一致性规则,检查多维数据分析审计技术在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md
PERFV6D-079-R03,audit_rule,generated_rule,PERFV6D-079,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,多维数据分析审计技术,多维数据分析审计技术异常性规则,按历史均值、同类项目分位数或政策标准识别多维数据分析审计技术异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\高级审计技术方法.pdf.md
SOEV6D-014-R01,audit_rule,generated_rule,SOEV6D-014,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,宏盛科技：公司治理问题分析,宏盛科技：公司治理问题分析完整性规则,检查宏盛科技：公司治理问题分析相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
SOEV6D-014-R02,audit_rule,generated_rule,SOEV6D-014,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,宏盛科技：公司治理问题分析,宏盛科技：公司治理问题分析一致性规则,检查宏盛科技：公司治理问题分析在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
SOEV6D-014-R03,audit_rule,generated_rule,SOEV6D-014,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,宏盛科技：公司治理问题分析,宏盛科技：公司治理问题分析异常性规则,按历史均值、同类项目分位数或政策标准识别宏盛科技：公司治理问题分析异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
SOEV6D-011-R01,audit_rule,generated_rule,SOEV6D-011,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计专题教学案例精选.pdf,审计专题教学案例精选.pdf完整性规则,检查审计专题教学案例精选.pdf相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
SOEV6D-011-R02,audit_rule,generated_rule,SOEV6D-011,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计专题教学案例精选.pdf,审计专题教学案例精选.pdf一致性规则,检查审计专题教学案例精选.pdf在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
SOEV6D-011-R03,audit_rule,generated_rule,SOEV6D-011,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计专题教学案例精选.pdf,审计专题教学案例精选.pdf异常性规则,按历史均值、同类项目分位数或政策标准识别审计专题教学案例精选.pdf异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计专题教学案例精选.pdf.md
FINV6D-004-R01,audit_rule,generated_rule,FINV6D-004,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例.pdf,审计案例.pdf完整性规则,检查审计案例.pdf相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；采购公告,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计案例.pdf.md
FINV6D-004-R02,audit_rule,generated_rule,FINV6D-004,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例.pdf,审计案例.pdf一致性规则,检查审计案例.pdf在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；采购公告,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计案例.pdf.md
FINV6D-004-R03,audit_rule,generated_rule,FINV6D-004,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例.pdf,审计案例.pdf异常性规则,按历史均值、同类项目分位数或政策标准识别审计案例.pdf异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；采购公告,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\审计案例.pdf.md
SOEV6D-007-R01,audit_rule,generated_rule,SOEV6D-007,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例规则化,审计案例规则化完整性规则,检查审计案例规则化相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
SOEV6D-007-R02,audit_rule,generated_rule,SOEV6D-007,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例规则化,审计案例规则化一致性规则,检查审计案例规则化在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
SOEV6D-007-R03,audit_rule,generated_rule,SOEV6D-007,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例规则化,审计案例规则化异常性规则,按历史均值、同类项目分位数或政策标准识别审计案例规则化异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\内部审计工作法.pdf.md
SUPVV6D-010-R01,audit_rule,generated_rule,SUPVV6D-010,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例规则化,审计案例规则化完整性规则,检查审计案例规则化相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\国家治理导向的政府审计.pdf.md
SUPVV6D-010-R02,audit_rule,generated_rule,SUPVV6D-010,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例规则化,审计案例规则化一致性规则,检查审计案例规则化在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\国家治理导向的政府审计.pdf.md
SUPVV6D-010-R03,audit_rule,generated_rule,SUPVV6D-010,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例规则化,审计案例规则化异常性规则,按历史均值、同类项目分位数或政策标准识别审计案例规则化异常偏离。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；绩效指标表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\国家治理导向的政府审计.pdf.md
ECONV6D-042-R01,audit_rule,generated_rule,ECONV6D-042,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例规则化,审计案例规则化完整性规则,检查审计案例规则化相关台账、凭证、审批和支付数据是否完整，缺失率超过阈值则预警。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\基层审计业务操作规程.pdf.md
ECONV6D-042-R02,audit_rule,generated_rule,ECONV6D-042,59,C,全场景通用 / 监督检查与经费舞弊 / 绩效评价,审计案例规则化,审计案例规则化一致性规则,检查审计案例规则化在合同、支付、预算、绩效或业务台账之间是否一致。,项目台账；财务收支明细；合同与审批资料；支付凭证；审计发现清单；预算批复表,字段缺失/跨表不一致/偏离阈值/重复异常/时序异常/空间不一致,命中对象、风险等级、证据字段、核查建议,P1,ocr_55_books_deep,E:\2026\审计方法&政策文件\_ocr_output\通用\基层审计业务操作规程.pdf.md
