id,project_name,proc_method,budget_amount,bid_amount,contract_amount,winner,bidder_count,bid_date,sign_date,dept_name,category
18,信息化平台建设,询价,311.9,304.17,296.47,D市政工程公司,5,2025-02-01,2025-02-22,人社局,货物
19,医疗设备采购,竞争性磋商,419.3,394.6,381.97,A建设集团,6,2025-08-14,2025-09-10,民政局,服务
20,医疗设备采购,竞争性谈判,450.59,398.67,380.8,E建筑安装公司,4,2025-09-21,2025-11-14,教育局,工程
21,物业服务招标,单一来源,124.95,118.36,116.59,A建设集团,6,2025-05-20,2025-01-06,住建局,服务
22,物业服务招标,邀请招标,438.2,401.71,399.2,E建筑安装公司,5,2025-03-18,2025-03-17,卫健委,工程
23,物业服务招标,竞争性谈判,403.2,398.38,385.28,E建筑安装公司,5,2025-08-21,2025-06-22,交通局,服务
24,道路改造项目,公开招标,373.14,322.35,319.12,A建设集团,8,2025-10-10,2025-12-22,交通局,服务
25,校舍维修工程,询价,389.31,345.49,338.68,C项目管理公司,8,2025-02-21,2025-09-22,民政局,工程
26,校舍维修工程,邀请招标,362.59,353.49,353.24,E建筑安装公司,8,2025-04-23,2025-03-24,民政局,货物
27,道路改造项目,竞争性谈判,269.55,255.02,250.44,B工程技术公司,7,2025-09-11,2025-04-19,农业农村局,服务
28,智慧校园项目,单一来源,413.68,362.42,352.15,D市政工程公司,2,2025-08-18,2025-06-16,卫健委,货物
29,校舍维修工程,公开招标,145.51,130.68,128.4,E建筑安装公司,7,2025-01-09,2025-12-18,人社局,货物
30,办公家具采购,单一来源,389.52,356.11,346.84,C项目管理公司,6,2025-08-02,2025-01-28,交通局,货物
31,办公家具采购,竞争性磋商,256.57,218.94,218.67,B工程技术公司,2,2025-02-19,2025-05-13,科技局,工程
32,医疗设备采购,单一来源,455.22,388.99,369.93,A建设集团,6,2025-10-01,2025-11-05,住建局,货物
33,污水处理工程,公开招标,347.15,316.19,303.97,A建设集团,5,2025-10-01,2025-05-12,卫健委,工程
34,物业服务招标,单一来源,152.06,149.65,147.13,B工程技术公司,6,2025-02-19,2025-10-22,科技局,工程
35,智慧校园项目,单一来源,202.28,180.03,175.18,E建筑安装公司,4,2025-02-18,2025-05-07,人社局,货物
36,办公家具采购,公开招标,389.29,364.31,354.16,E建筑安装公司,5,2025-05-06,2025-02-13,科技局,服务
37,污水处理工程,竞争性磋商,437.58,408.86,402.13,B工程技术公司,5,2025-01-06,2025-09-05,教育局,货物
38,公务用车采购,竞争性磋商,462.81,406.71,402.15,B工程技术公司,4,2025-12-05,2025-03-03,卫健委,货物
39,设备采购项目,竞争性磋商,105.43,100.28,99.2,B工程技术公司,5,2025-08-20,2025-05-10,卫健委,服务
40,智慧校园项目,询价,458.34,412.22,410.23,C项目管理公司,8,2025-05-14,2025-05-17,民政局,服务
41,信息化平台建设,询价,424.83,402.57,389.62,C项目管理公司,4,2025-09-12,2025-07-23,交通局,工程
42,设备采购项目,公开招标,302.26,292.08,290.19,C项目管理公司,2,2025-11-19,2025-03-12,民政局,工程
43,道路改造项目,询价,93.33,92.37,88.64,C项目管理公司,8,2025-10-14,2025-06-24,卫健委,服务
44,办公家具采购,竞争性谈判,247.58,231.96,221.3,A建设集团,5,2025-02-25,2025-04-11,教育局,货物
45,道路改造项目,询价,129.52,112.66,111.99,A建设集团,4,2025-12-04,2025-03-15,民政局,工程
46,智慧校园项目,竞争性谈判,119.95,110.91,108.04,C项目管理公司,5,2025-07-23,2025-01-03,人社局,货物
47,信息化平台建设,邀请招标,26.3,24.43,23.5,E建筑安装公司,6,2025-12-23,2025-06-05,人社局,货物
48,物业服务招标,竞争性磋商,355.51,341.9,333.94,B工程技术公司,4,2025-01-24,2025-11-21,农业农村局,货物
49,物业服务招标,单一来源,462.85,438.98,422.63,B工程技术公司,3,2025-03-10,2025-12-27,民政局,货物
50,道路改造项目,单一来源,197.09,174.8,171.15,D市政工程公司,2,2025-07-13,2025-07-26,人社局,货物
